2503	Eso no va a {{c1::cambiar}} nada.	6488765	That'll change nothing.	[sound:spa-2503-audio.mp3]
2526	Desafortunadamente es {{c1::verdad}}.	4943331	Unfortunately, that is true.	[sound:spa-2526-audio.mp3]
2586	¿Quieres decir que ocultas {{c1::intencionalmente}} tu belleza?	2740120	Do you mean you hide your beauty intentionally?	[sound:spa-2586-audio.mp3]
2590	Creo que nuestra {{c1::convivencia}} ha influenciado tu forma de vida.	599702	I think that our living together has influenced your habits.	[sound:spa-2590-audio.mp3]
2608	No era mi {{c1::intención}}.	3591700	That wasn't what I intended.	[sound:spa-2608-audio.mp3]
2620	No me gusta cuando {{c1::matemáticos}} que saben mucho más que yo no pueden expresarse con claridad.	1193966	I don't like it when mathematicians who know much more than I do can't express themselves clearly.	[sound:spa-2620-audio.mp3]
2643	No quiero esperar {{c1::tanto}} tiempo.	1215988	I don't want to wait so long.	[sound:spa-2643-audio.mp3]
2652	Aunque probablemente adivines qué está {{c1::pasando}}.	697769	Although you can probably guess what's happening.	[sound:spa-2652-audio.mp3]
2666	No {{c1::subestimes}} mi poder.	1864722	Do not underestimate my power.	[sound:spa-2666-audio.mp3]
2739	No es del todo raro {{c1::vivir}} más de 90 años.	915346	It's not at all rare to live to be over ninety years old.	[sound:spa-2739-audio.mp3]
2742	Cuando empieces a {{c1::parecerte}} a la foto de tu pasaporte deberías irte de vacaciones.	2292668	When you start looking like your passport photo you should go on vacation.	[sound:spa-2742-audio.mp3]
2752	¿Me has {{c1::echado}} de menos?	3822584	Have you missed me?	[sound:spa-2752-audio.mp3]
2757	Lo {{c1::tomo}}.	5261199	I take him.	[sound:spa-2757-audio.mp3]
2995	El deseo {{c1::emerge}} entre necesidad y demanda.	5141218	The desire emerges between need and demand.	[sound:spa-2995-audio.mp3]
3063	En primer lugar quiero expresar especial gratitud a mi director de tesis el Dr. Juan Pisto por su paciencia, esfuerzo y {{c1::dedicación}}.	3570068	First off, I'd especially like to express my gratitude to my thesis director, Dr. Juan Pisto, for his patience, effort, and dedication.	[sound:spa-3063-audio.mp3]
3064	¿Por qué costó tanto establecer que la neurona era la unidad {{c1::básica}} del tejido nervioso?	3570067	Why was it so hard to establish that the neuron is the most basic unit of nervous tissue?	[sound:spa-3064-audio.mp3]
10906	¿De verdad {{c1::ocurrió}} ese accidente el año pasado?	957265	Did that accident really happen last year?	[sound:spa-10906-audio.mp3]
12761	Él {{c1::huyó}} al verme.	1366277	He ran away when he saw me.	[sound:spa-12761-audio.mp3]
